,customer_id,customer_name,customer_segment,order_id,order_date,shipping_city,shipping_state,shipping_region,shipping_country,shipping_postal_code,shipping_date,shipping_mode,order_details_id,product_id,quantity,order_discount,order_profits,order_profit_ratio,order_sales,product_name,product_category,product_subcategory,product_manufacturer
0,1,Aaron Bergman,Consumer,CA-2015-152905,2/18/15,Arlington,Texas,Central,United States,76017,2/24/15,Standard Class,1279,117,2,0.2, $(3.00),-0.2, $13.00 ,Akro Stacking Bins,Office Supplies,Storage,Akro
1,6,Adam Shillingsburg,Consumer,CA-2017-104311,5/2/17,Irving,Texas,Central,United States,75061,5/6/17,Standard Class,3594,117,3,0.2, $(4.00),-0.2, $19.00 ,Akro Stacking Bins,Office Supplies,Storage,Akro
2,7,Adrian Barton,Consumer,CA-2018-153822,9/19/18,Phoenix,Arizona,West,United States,85023,9/25/18,Standard Class,7717,117,2,0.2, $(3.00),-0.2, $13.00 ,Akro Stacking Bins,Office Supplies,Storage,Akro
3,460,Lena Radford,Consumer,CA-2017-126732,9/2/17,Los Angeles,California,West,United States,90036,9/6/17,Standard Class,4259,117,3,0, $1.00 ,0.04, $24.00 ,Akro Stacking Bins,Office Supplies,Storage,Akro
4,520,Meg Tillman,Consumer,CA-2017-104157,7/25/17,Jackson,Mississippi,South,United States,39212,7/29/17,Standard Class,3587,117,1,0, $-   ,0.04, $8.00 ,Akro Stacking Bins,Office Supplies,Storage,Akro
5,705,Sonia Sunley,Consumer,CA-2015-150490,8/5/15,San Francisco,California,West,United States,94122,8/11/15,Standard Class,1223,117,2,0, $1.00 ,0.04, $16.00 ,Akro Stacking Bins,Office Supplies,Storage,Akro
6,1,Aaron Bergman,Consumer,CA-2015-156587,3/7/15,Seattle,Washington,West,United States,98103,3/8/15,First Class,1363,1146,3,0, $5.00 ,0.26, $18.00 ,Newell 330,Office Supplies,Art,Newell
7,66,Barry Blumstein,Corporate,CA-2018-118136,9/16/18,Inglewood,California,West,United States,90301,9/17/18,First Class,6317,1146,1,0, $2.00 ,0.26, $6.00 ,Newell 330,Office Supplies,Art,Newell
8,156,Christine Sundaresam,Consumer,CA-2018-111269,6/16/18,Dublin,Ohio,East,United States,43017,6/18/18,Second Class,6055,1146,5,0.2, $2.00 ,0.08, $24.00 ,Newell 330,Office Supplies,Art,Newell
9,611,Philisse Overcash,Home Office,US-2016-156797,8/11/16,New York City,New York,East,United States,10035,8/15/16,Standard Class,8882,1146,2,0, $3.00 ,0.26, $12.00 ,Newell 330,Office Supplies,Art,Newell
10,1,Aaron Bergman,Consumer,CA-2015-156587,3/7/15,Seattle,Washington,West,United States,98103,3/8/15,First Class,1364,765,1,0.2, $5.00 ,0.11, $49.00 ,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,Global
11,46,Anna Häberlin,Corporate,CA-2016-113628,11/12/16,Plantation,Florida,South,United States,33317,11/19/16,Standard Class,2073,765,3,0.2, $16.00 ,0.11, $146.00 ,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,Global
12,390,John Murray,Consumer,CA-2017-130393,12/1/17,San Angelo,Texas,Central,United States,76903,12/3/17,Second Class,4380,765,2,0.3, $(1.00),-0.01, $85.00 ,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,Global
13,489,Maribeth Dona,Consumer,CA-2017-162383,9/5/17,Lancaster,Ohio,East,United States,43130,9/11/17,Standard Class,5360,765,2,0.3, $(1.00),-0.01, $85.00 ,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,Global
14,622,Randy Ferguson,Corporate,CA-2017-163167,11/28/17,Marietta,Georgia,South,United States,30062,12/1/17,Second Class,5376,765,3,0, $53.00 ,0.29, $183.00 ,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,Global
15,634,Rick Reed,Corporate,US-2016-131842,12/5/16,Nashville,Tennessee,South,United States,37211,12/8/16,First Class,8786,765,2,0.2, $11.00 ,0.11, $97.00 ,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,Global
16,640,Rob Lucas,Consumer,CA-2016-126557,7/12/16,Chicago,Illinois,Central,United States,60610,7/17/16,Second Class,2395,765,9,0.3, $(5.00),-0.01, $384.00 ,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,Global
17,745,Thomas Brumley,Home Office,CA-2015-163447,12/27/15,New York City,New York,East,United States,10011,12/31/15,Standard Class,1496,765,14,0.1, $162.00 ,0.21, $767.00 ,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,Global
